Time [s],PID,Address,Endpoint,Frame #,Data,CRC
4.100042480000000,IN,0x02,0x00,,,0x15
4.100068320000000,DATA1,,,,,0x0000
4.100095480000000,ACK,,,,,
4.102043830000000,SETUP,0x02,0x00,,,0x15
4.102071250000000,DATA0,,,,0x81 0x06 0x00 0x22 0x01 0x00 0x8E 0x00,0x038C
4.102140440000000,ACK,,,,,
4.103042300000000,IN,0x02,0x00,,,0x15
4.103068110000000,DATA1,,,,0x05 0x01 0x09 0x80 0xA1 0x01 0x85 0x01,0x20BF
4.103138480000000,ACK,,,,,
4.104042440000000,IN,0x02,0x00,,,0x15
4.104068270000000,DATA0,,,,0x05 0x01 0x19 0x81 0x29 0x83 0x15 0x00,0x38A6
4.104137780000000,ACK,,,,,
4.105051330000000,IN,0x02,0x00,,,0x15
4.105077210000000,DATA1,,,,0x25 0x01 0x95 0x03 0x75 0x01 0x81 0x06,0x889F
4.105146840000000,ACK,,,,,
4.106044710000000,IN,0x02,0x00,,,0x15
4.106070570000000,DATA0,,,,0x95 0x01 0x75 0x05 0x81 0x01 0xC0 0x05,0xFD48
4.106140890000000,ACK,,,,,
4.107044180000000,IN,0x02,0x00,,,0x15
4.107070060000000,DATA1,,,,0x0C 0x09 0x01 0xA1 0x01 0x85 0x02 0x15,0x134A
4.107139690000000,ACK,,,,,
4.108043400000000,IN,0x02,0x00,,,0x15
4.108069210000000,DATA0,,,,0x00 0x25 0x01 0x09 0xE9 0x09 0xEA 0x75,0x3F7C
4.108139580000000,ACK,,,,,
4.109043450000000,IN,0x02,0x00,,,0x15
4.109069370000000,DATA1,,,,0x01 0x95 0x02 0x81 0x02 0x09 0xE2 0x95,0xB8DF
4.109139790000000,ACK,,,,,
4.110043170000000,IN,0x02,0x00,,,0x15
4.110069030000000,DATA0,,,,0x01 0x81 0x06 0x09 0xCD 0x95 0x01 0x81,0x27DC
4.110138680000000,ACK,,,,,
4.111043300000000,IN,0x02,0x00,,,0x15
4.111069180000000,NAK,,,,,
4.112043770000000,IN,0x02,0x00,,,0x15
4.112069670000000,DATA1,,,,0x02 0x09 0xB5 0x09 0xB6 0x95 0x02 0x81,0x2D96
4.112139280000000,ACK,,,,,
4.113052910000000,IN,0x02,0x00,,,0x15
4.113078780000000,DATA0,,,,0x62 0x95 0x02 0x81 0x01 0xC0,0xEBAB
4.113137750000000,ACK,,,,,
4.115044510000000,OUT,0x02,0x00,,,0x15
4.115071930000000,DATA1,,,,,0x0000
4.115098500000000,ACK,,,,,
4.122033460000000,IN,0x02,0x01,,,0x03
4.122059270000000,NAK,,,,,
4.123033590000000,IN,0x02,0x02,,,0x10
4.123059430000000,NAK,,,,,
4.130034630000000,IN,0x02,0x01,,,0x03
4.130060510000000,NAK,,,,,
4.131034670000000,IN,0x02,0x02,,,0x10
4.131060490000000,NAK,,,,,
4.138035290000000,IN,0x02,0x01,,,0x03
4.138061080000000,NAK,,,,,
4.139035600000000,IN,0x02,0x02,,,0x10
4.139061390000000,NAK,,,,,
4.146037050000000,IN,0x02,0x01,,,0x03
4.146062970000000,NAK,,,,,
4.147036600000000,IN,0x02,0x02,,,0x10
4.147062460000000,NAK,,,,,
4.154037800000000,IN,0x02,0x01,,,0x03
4.154063710000000,NAK,,,,,
4.155037680000000,IN,0x02,0x02,,,0x10
4.155063530000000,NAK,,,,,
4.162039130000000,IN,0x02,0x01,,,0x03
4.162064940000000,NAK,,,,,
4.163038850000000,IN,0x02,0x02,,,0x10
4.163064600000000,NAK,,,,,
4.170039720000000,IN,0x02,0x01,,,0x03
4.170065520000000,NAK,,,,,
4.171039770000000,IN,0x02,0x02,,,0x10
4.171065500000000,NAK,,,,,
4.178041380000000,IN,0x02,0x01,,,0x03
4.178067250000000,NAK,,,,,
4.179041180000000,IN,0x02,0x02,,,0x10
4.179066900000000,NAK,,,,,
4.186042130000000,IN,0x02,0x01,,,0x03
4.186067980000000,NAK,,,,,
4.187042270000000,IN,0x02,0x02,,,0x10
4.187068140000000,NAK,,,,,
4.194043300000000,IN,0x02,0x01,,,0x03
4.194069220000000,NAK,,,,,
4.195043350000000,IN,0x02,0x02,,,0x10
4.195069210000000,NAK,,,,,
4.202044300000000,IN,0x02,0x01,,,0x03
4.202070120000000,NAK,,,,,
4.203044100000000,IN,0x02,0x02,,,0x10
4.203069940000000,NAK,,,,,
4.210045220000000,IN,0x02,0x01,,,0x03
4.210071030000000,NAK,,,,,
4.211045520000000,IN,0x02,0x02,,,0x10
4.211071350000000,NAK,,,,,
4.218046210000000,IN,0x02,0x01,,,0x03
4.218072090000000,NAK,,,,,
4.219046350000000,IN,0x02,0x02,,,0x10
4.219072080000000,NAK,,,,,
4.226047550000000,IN,0x02,0x01,,,0x03
4.226073330000000,NAK,,,,,
4.227047770000000,IN,0x02,0x02,,,0x10
4.227073650000000,NAK,,,,,
4.234048890000000,IN,0x02,0x01,,,0x03
4.234074730000000,NAK,,,,,
4.235048770000000,IN,0x02,0x02,,,0x10
4.235074550000000,NAK,,,,,
4.242049470000000,IN,0x02,0x01,,,0x03
4.242075300000000,NAK,,,,,
4.243049520000000,IN,0x02,0x02,,,0x10
4.243075290000000,NAK,,,,,
4.250050550000000,IN,0x02,0x01,,,0x03
4.250076370000000,NAK,,,,,
4.251050940000000,IN,0x02,0x02,,,0x10
4.251076690000000,NAK,,,,,
4.258052140000000,IN,0x02,0x01,,,0x03
4.258077940000000,NAK,,,,,
4.259051780000000,IN,0x02,0x02,,,0x10
4.259077590000000,NAK,,,,,
4.266052970000000,IN,0x02,0x01,,,0x03
4.266078840000000,NAK,,,,,
4.267053110000000,IN,0x02,0x02,,,0x10
4.267078820000000,NAK,,,,,
4.274053810000000,IN,0x02,0x01,,,0x03
4.274079580000000,NAK,,,,,
4.275053940000000,IN,0x02,0x02,,,0x10
4.275079730000000,NAK,,,,,
4.282055220000000,IN,0x02,0x01,,,0x03
4.282081140000000,NAK,,,,,
4.283055020000000,IN,0x02,0x02,,,0x10
4.283080800000000,NAK,,,,,
4.290056470000000,IN,0x02,0x01,,,0x03
4.290082380000000,NAK,,,,,
4.291056610000000,IN,0x02,0x02,,,0x10
4.291082360000000,NAK,,,,,
4.298057310000000,IN,0x02,0x01,,,0x03
4.298083120000000,NAK,,,,,
4.299057190000000,IN,0x02,0x02,,,0x10
4.299082940000000,NAK,,,,,
4.306058140000000,IN,0x02,0x01,,,0x03
4.306084020000000,NAK,,,,,
4.307059020000000,IN,0x02,0x02,,,0x10
4.307084840000000,NAK,,,,,
4.314059230000000,IN,0x02,0x01,,,0x03
4.314085090000000,NAK,,,,,
4.315060110000000,IN,0x02,0x02,,,0x10
4.315085900000000,NAK,,,,,
4.322060560000000,IN,0x02,0x01,,,0x03
4.322086490000000,NAK,,,,,
4.323060530000000,IN,0x02,0x02,,,0x10
4.323086310000000,NAK,,,,,
4.330061640000000,IN,0x02,0x01,,,0x03
4.330087560000000,NAK,,,,,
4.331061780000000,IN,0x02,0x02,,,0x10
4.331087550000000,NAK,,,,,
4.338062980000000,IN,0x02,0x01,,,0x03
4.338088790000000,NAK,,,,,
4.339062950000000,IN,0x02,0x02,,,0x10
4.339088780000000,NAK,,,,,
4.346063480000000,IN,0x02,0x01,,,0x03
4.346089360000000,NAK,,,,,
4.347064030000000,IN,0x02,0x02,,,0x10
4.347089850000000,NAK,,,,,
4.354064980000000,IN,0x02,0x01,,,0x03
4.354090760000000,NAK,,,,,
4.355065030000000,IN,0x02,0x02,,,0x10
4.355090750000000,NAK,,,,,
4.362065730000000,IN,0x02,0x01,,,0x03
4.362091500000000,NAK,,,,,
4.363065870000000,IN,0x02,0x02,,,0x10
4.363091650000000,NAK,,,,,
4.370066980000000,IN,0x02,0x01,,,0x03
4.370092900000000,NAK,,,,,
4.371067200000000,IN,0x02,0x02,,,0x10
4.371093050000000,NAK,,,,,
4.378067820000000,IN,0x02,0x01,,,0x03
4.378093640000000,NAK,,,,,
4.379067950000000,IN,0x02,0x02,,,0x10
4.379093790000000,NAK,,,,,
4.386069230000000,IN,0x02,0x01,,,0x03
4.386095040000000,NAK,,,,,
4.387069450000000,IN,0x02,0x02,,,0x10
4.387095190000000,NAK,,,,,
4.394070070000000,IN,0x02,0x01,,,0x03
4.394095940000000,NAK,,,,,
4.395070200000000,IN,0x02,0x02,,,0x10
4.395095930000000,NAK,,,,,
4.402071650000000,IN,0x02,0x01,,,0x03
4.402097510000000,NAK,,,,,
4.403071540000000,IN,0x02,0x02,,,0x10
4.403097330000000,NAK,,,,,
4.410072490000000,IN,0x02,0x01,,,0x03
4.410098410000000,NAK,,,,,
4.411072450000000,IN,0x02,0x02,,,0x10
4.411098230000000,NAK,,,,,
4.418073240000000,IN,0x02,0x01,,,0x03
4.418099150000000,NAK,,,,,
4.419074040000000,IN,0x02,0x02,,,0x10
4.419099800000000,NAK,,,,,
4.426074900000000,IN,0x02,0x01,,,0x03
4.426100710000000,NAK,,,,,
4.427074790000000,IN,0x02,0x02,,,0x10
4.427100540000000,NAK,,,,,
4.434075740000000,IN,0x02,0x01,,,0x03
4.434101620000000,NAK,,,,,
4.435075960000000,IN,0x02,0x02,,,0x10
4.435101770000000,NAK,,,,,
4.442076570000000,IN,0x02,0x01,,,0x03
4.442102350000000,NAK,,,,,
4.443076710000000,IN,0x02,0x02,,,0x10
4.443102510000000,NAK,,,,,
4.450078160000000,IN,0x02,0x01,,,0x03
4.450103920000000,NAK,,,,,
4.451077960000000,IN,0x02,0x02,,,0x10
4.451103750000000,NAK,,,,,
4.458078990000000,IN,0x02,0x01,,,0x03
4.458104830000000,NAK,,,,,
4.459079120000000,IN,0x02,0x02,,,0x10
4.459104980000000,NAK,,,,,
4.466080580000000,IN,0x02,0x01,,,0x03
4.466106390000000,NAK,,,,,
4.467079960000000,IN,0x02,0x02,,,0x10
4.467105720000000,NAK,,,,,
4.474080910000000,IN,0x02,0x01,,,0x03
4.474106800000000,NAK,,,,,
4.475081040000000,IN,0x02,0x02,,,0x10
4.475106790000000,NAK,,,,,
4.482082240000000,IN,0x02,0x01,,,0x03
4.482108030000000,NAK,,,,,
4.483082460000000,IN,0x02,0x02,,,0x10
4.483108190000000,NAK,,,,,
4.490083160000000,IN,0x02,0x01,,,0x03
4.490108940000000,NAK,,,,,
4.491083460000000,IN,0x02,0x02,,,0x10
4.491109260000000,NAK,,,,,
4.498084580000000,IN,0x02,0x01,,,0x03
4.498110340000000,NAK,,,,,
4.499084210000000,IN,0x02,0x02,,,0x10
4.499110000000000,NAK,,,,,
4.506085740000000,IN,0x02,0x01,,,0x03
4.506111580000000,NAK,,,,,
4.507085710000000,IN,0x02,0x02,,,0x10
4.507111560000000,NAK,,,,,
4.514086410000000,IN,0x02,0x01,,,0x03
4.514112310000000,NAK,,,,,
4.515086710000000,IN,0x02,0x02,,,0x10
4.515112470000000,NAK,,,,,
4.522087410000000,IN,0x02,0x01,,,0x03
4.522113210000000,NAK,,,,,
4.523087550000000,IN,0x02,0x02,,,0x10
4.523113370000000,NAK,,,,,
4.530088410000000,IN,0x02,0x01,,,0x03
4.530114290000000,NAK,,,,,
4.531088630000000,IN,0x02,0x02,,,0x10
4.531114440000000,NAK,,,,,
4.538089660000000,IN,0x02,0x01,,,0x03
4.538115520000000,NAK,,,,,
4.539089970000000,IN,0x02,0x02,,,0x10
4.539115680000000,NAK,,,,,
4.546091160000000,IN,0x02,0x01,,,0x03
4.546117090000000,NAK,,,,,
4.547091380000000,IN,0x02,0x02,,,0x10
4.547117240000000,NAK,,,,,
4.554092000000000,IN,0x02,0x01,,,0x03
4.554117830000000,NAK,,,,,
4.555092140000000,IN,0x02,0x02,,,0x10
4.555117980000000,NAK,,,,,
4.562093080000000,IN,0x02,0x01,,,0x03
4.562118900000000,NAK,,,,,
4.563093220000000,IN,0x02,0x02,,,0x10
4.563119050000000,NAK,,,,,
4.570094160000000,IN,0x02,0x01,,,0x03
4.570119970000000,NAK,,,,,
4.571094130000000,IN,0x02,0x02,,,0x10
4.571119950000000,NAK,,,,,
4.578095080000000,IN,0x02,0x01,,,0x03
4.578120870000000,NAK,,,,,
4.579095470000000,IN,0x02,0x02,,,0x10
4.579121190000000,NAK,,,,,
4.586096000000000,IN,0x02,0x01,,,0x03
4.586121780000000,DATA0,,,,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0xF4BF
4.586192180000000,ACK,,,,,
4.587096130000000,IN,0x02,0x02,,,0x10
4.587121930000000,NAK,,,,,
4.594097410000000,IN,0x02,0x01,,,0x03
4.594123340000000,NAK,,,,,
4.595102970000000,IN,0x02,0x02,,,0x10
4.595128800000000,NAK,,,,,
4.602098170000000,IN,0x02,0x01,,,0x03
4.602124080000000,NAK,,,,,
4.603098380000000,IN,0x02,0x02,,,0x10
4.603124240000000,NAK,,,,,
4.610099670000000,IN,0x02,0x01,,,0x03
4.610125480000000,NAK,,,,,
4.611099720000000,IN,0x02,0x02,,,0x10
4.611125470000000,NAK,,,,,
4.618100340000000,IN,0x02,0x01,,,0x03
4.618126210000000,NAK,,,,,
4.619100550000000,IN,0x02,0x02,,,0x10
4.619126370000000,NAK,,,,,
4.626101420000000,IN,0x02,0x01,,,0x03
4.626127290000000,NAK,,,,,
4.627104970000000,IN,0x02,0x02,,,0x10
4.627130750000000,NAK,,,,,
4.634102840000000,IN,0x02,0x01,,,0x03
4.634128690000000,NAK,,,,,
4.635102640000000,IN,0x02,0x02,,,0x10
4.635128510000000,NAK,,,,,
4.642103920000000,IN,0x02,0x01,,,0x03
4.642129760000000,NAK,,,,,
4.643104140000000,IN,0x02,0x02,,,0x10
4.643129910000000,NAK,,,,,
4.650104750000000,IN,0x02,0x01,,,0x03
4.650130660000000,NAK,,,,,
4.651104890000000,IN,0x02,0x02,,,0x10
4.651130650000000,NAK,,,,,
4.658107590000000,IN,0x02,0x01,,,0x03
4.658133380000000,NAK,,,,,
4.659106140000000,IN,0x02,0x02,,,0x10
4.659131890000000,NAK,,,,,
4.666107170000000,IN,0x02,0x01,,,0x03
4.666132970000000,NAK,,,,,
4.667107310000000,IN,0x02,0x02,,,0x10
4.667133120000000,NAK,,,,,
4.674108340000000,IN,0x02,0x01,,,0x03
4.674134200000000,NAK,,,,,
4.675108390000000,IN,0x02,0x02,,,0x10
4.675134190000000,NAK,,,,,
4.682109420000000,IN,0x02,0x01,,,0x03
4.682135270000000,NAK,,,,,
4.683109230000000,IN,0x02,0x02,,,0x10
4.683135100000000,NAK,,,,,
4.690110090000000,IN,0x02,0x01,,,0x03
4.690136010000000,NAK,,,,,
4.691112310000000,IN,0x02,0x02,,,0x10
4.691138160000000,NAK,,,,,
4.698111340000000,IN,0x02,0x01,,,0x03
4.698137250000000,NAK,,,,,
4.699111390000000,IN,0x02,0x02,,,0x10
4.699137230000000,NAK,,,,,
4.706112590000000,IN,0x02,0x01,,,0x03
4.706138480000000,NAK,,,,,
4.707113060000000,IN,0x02,0x02,,,0x10
4.707138800000000,NAK,,,,,
4.714113670000000,IN,0x02,0x01,,,0x03
4.714139550000000,NAK,,,,,
4.715113890000000,IN,0x02,0x02,,,0x10
4.715139710000000,NAK,,,,,
